n,block,current_odd,tail,odd_factor,exit_v2,next_odd,next_tail,steps_to_next_odd,compressed_steps,local_odd_ratio,cumulative_odd_ratio,local_peak_ratio,cumulative_peak_ratio,local_log_ratio,cumulative_log_ratio,status_after
704623,38,2236285,1,1118143,2,838607,4,4,266,0.375000055896,1.190149909952,3.00000044717,9.521199279615,-0.980829103955,0.174079273939,continue
704623,39,838607,4,52413,2,1061363,2,10,276,1.265626211086,1.506284921156,10.125009688686,12.050279369251,0.23556702822,0.409646302158,continue
704623,40,1061363,2,265341,2,597017,1,6,282,0.562500294433,0.84728571165,4.500002355462,6.7782856932,-0.575363621468,-0.165717319309,drop
159487,1,159487,8,623,1,2043751,3,17,17,12.814530337896,12.814530337896,51.258121351584,51.258121351584,2.550579709741,2.550579709741,continue
159487,2,2043751,3,255469,1,3448831,13,7,24,1.687500581039,21.624527390947,6.750002324158,86.498109563789,0.523248488084,3.073828197825,continue
159487,3,3448831,13,421,1,335604991,8,27,51,97.309781488278,2104.278035200361,389.239125953113,8417.112140801444,4.57789951331,7.651727711135,continue
159487,4,335604991,8,1310957,2,2150297219,2,18,69,6.407226580847,13482.586160627512,51.257812646773,107860.6892850201,1.857426506609,9.509154217744,continue
159487,5,2150297219,2,537574305,3,604771093,1,7,76,0.281250000073,3791.977358656191,4.500000001163,60671.63773849906,-1.268511325205,8.240642892539,continue
159487,6,604771093,1,302385547,5,28348645,1,7,83,0.046875000026,177.748938784979,3.000000001654,11375.932082238678,-3.06027079414,5.180372098398,continue
159487,7,28348645,1,14174323,3,5315371,2,5,88,0.187500002205,33.327926414065,3.000000035275,533.246822625042,-1.673976421813,3.506395676585,continue
159487,8,5315371,2,1328843,1,5979793,1,5,93,1.125000117584,37.493921134638,4.500000470334,149.975684538552,0.117783140175,3.62417881676,continue
159487,9,5979793,1,2989897,1,4484845,1,3,96,0.750000041807,28.120442418504,3.00000016723,112.481769674017,-0.287682016708,3.336496800051,continue
159487,10,4484845,1,2242423,2,1681817,1,4,100,0.375000027872,10.545166690702,3.000000222973,84.361333525617,-0.980829178687,2.355667621364,continue
159487,11,1681817,1,840909,1,1261363,2,3,103,0.750000148649,7.908876585552,3.000000594595,31.63550634221,-0.287681874253,2.067985747111,continue
159487,12,1261363,2,315341,2,709517,1,6,109,0.562500247748,4.448745038781,4.500001981983,35.589960310245,-0.575363704463,1.492622042648,continue
159487,13,709517,1,354759,2,266069,1,4,113,0.375000176176,1.668280173306,3.000001409409,13.346241386445,-0.980828783209,0.511793259439,continue
159487,14,266069,1,133035,8,1559,3,10,123,0.005859382341,0.009775091387,3.000003758424,5.004846790021,-5.139711083564,-4.627917824125,drop
270271,1,270271,6,4223,1,1539283,2,13,13,5.695331722604,5.695331722604,22.781326890417,22.781326890417,1.739646843246,1.739646843246,continue
270271,2,1539283,2,384821,2,865847,3,6,19,0.562500203017,3.203625250212,4.500001624133,25.629002001695,-0.575363783985,1.16428305926,continue
270271,3,865847,3,108231,2,730559,6,8,27,0.843750685745,2.703061001735,6.750005485958,21.624488013882,-0.169898224061,0.994384835199,continue
270271,4,730559,6,11415,1,4160767,8,13,40,5.695319611421,15.39479633405,22.781278445683,61.5791853362,1.739644716733,2.734029551932,continue
270271,5,4160767,8,16253,2,26658983,3,18,58,6.40722804233,98.637970777479,51.257824338638,789.103766219831,1.857426734708,4.59145628664,continue
270271,6,26658983,3,3332373,1,44987035,2,7,65,1.687500044544,166.451580080734,6.750000178176,665.806320322935,0.523248170161,5.114704456801,continue
270271,7,44987035,2,11246759,1,50610415,4,5,70,1.125000013893,187.258029903319,4.500000055572,749.032119613277,0.117783048006,5.232487504807,continue
270271,8,50610415,4,3163151,1,128107615,5,9,79,2.531250040135,473.996895708382,10.12500016054,1895.987582833526,0.928713267729,6.161200772535,continue
270271,9,128107615,5,4003363,3,121602151,3,13,92,0.949218756434,449.926743897791,15.187500102941,7198.827902364664,-0.052115994361,6.109084778174,continue
270271,10,121602151,3,15200269,1,205203631,4,7,99,1.687500009765,759.251384721261,6.750000039062,3037.005538885045,0.523248149551,6.632332927726,continue
270271,11,205203631,4,12825227,1,519421693,1,9,108,2.531250009899,1921.855075091297,10.125000039595,7687.420300365189,0.928713255783,7.561046183509,continue
270271,12,519421693,1,259710847,2,194783135,5,4,112,0.375000000241,720.695653621735,3.000000001925,5765.565228973882,-0.98082925237,6.580216931139,continue
270271,13,194783135,5,6086973,1,739567219,2,11,123,3.796875016926,2736.391322043431,15.187500067703,10945.565288173722,1.334178364439,7.914395295578,continue
270271,14,739567219,2,184891805,2,416006561,1,6,129,0.562500000423,1539.220119805677,4.50000000338,12313.760958445413,-0.575364144152,7.339031151425,continue
270271,15,416006561,1,208003281,1,312004921,1,3,132,0.750000000601,1154.415090779255,3.000000002404,4617.660363117019,-0.287682071651,7.051349079775,continue
270271,16,312004921,1,156002461,1,234003691,2,3,135,0.750000000801,865.811319009439,3.000000003205,3463.245276037755,-0.287682071383,6.763667008391,continue
270271,17,234003691,2,58500923,1,263254153,1,5,140,1.125000002671,974.037736198112,4.500000010684,3896.150944792449,0.117783038031,6.881450046422,continue
270271,18,263254153,1,131627077,1,197440615,3,3,143,0.75000000095,730.528303073582,3.000000003799,2922.113212294327,-0.287682071186,6.593767975236,continue
270271,19,197440615,3,24680077,1,333181039,4,7,150,1.687500006014,1232.766515830407,6.750000024058,4931.066063321629,0.523248147329,7.117016122565,continue
270271,20,333181039,4,20823815,1,843364507,2,9,159,2.531250006097,3120.440250711323,10.125000024386,12481.761002845293,0.928713254281,8.045729376846,continue
270271,21,843364507,2,210841127,1,948785071,4,5,164,1.125000000741,3510.495284362732,4.500000002964,14041.981137450928,0.117783036315,8.163512413161,continue
270271,22,948785071,4,59299067,1,2401612213,1,9,173,2.531250002141,8885.941196058771,10.125000008564,35543.764784235085,0.928713252718,9.09222566588,continue
270271,23,2401612213,1,1200806107,4,225151145,1,6,179,0.093750000013,833.056987246134,3.000000000416,26657.823591876302,-2.367123613993,6.725102051887,continue
270271,24,225151145,1,112575573,1,168863359,7,3,182,0.75000000111,624.792741359598,3.000000004441,2499.170965438394,-0.287682070971,6.437419980916,continue
270271,25,168863359,7,1319245,1,1442594407,3,15,197,8.54296879763,5337.584894420785,34.17187519052,21350.33957768314,2.145108581773,8.582528562688,continue
270271,26,1442594407,3,180324301,1,2434378063,4,7,204,1.687500000823,9007.174513728813,6.750000003293,36028.69805491525,0.523248144252,9.105776706941,continue
270271,27,2434378063,4,152148629,2,3081009737,1,10,214,1.265625000417,11399.70524769583,10.125000003338,91197.64198156664,0.235566071642,9.341342778583,continue
270271,28,3081009737,1,1540504869,1,2310757303,3,3,217,0.750000000081,8549.778936696872,3.000000000325,34199.11574678749,-0.287682072344,9.053660706239,continue
270271,29,2310757303,3,288844663,2,1949701475,2,8,225,0.843750000257,7213.875980034853,6.750000002056,57711.00784027883,-0.169899036491,8.883761669749,continue
270271,30,1949701475,2,487425369,5,137088385,1,9,234,0.07031250002,507.225654990732,4.500000001282,32462.441919406818,-2.654805686298,6.22895598345,continue
270271,31,137088385,1,68544193,1,102816289,1,3,237,0.750000001824,380.419242168046,3.000000007295,1521.676968672185,-0.28768207002,5.94127391343,continue
270271,32,102816289,1,51408145,1,77112217,1,3,240,0.750000002432,285.314432551032,3.000000009726,1141.257730204128,-0.28768206921,5.65359184422,continue
